round,day,home,away,stadium,home_state,away_state
32,2023-11-05,Cruzeiro,Internacional,Estádio Governador Magalhães Pinto,MG,RS
32,2023-11-05,Coritiba FC,Goiás,Estádio Major Antônio Couto Pereira,,GO
33,2023-11-08,América-MG,Coritiba FC,Estádio Raimundo Sampaio,MG,
33,2023-11-09,Athletico-PR,Fortaleza,Ligga Arena,PR,CE
33,2023-11-09,Corinthians,Atlético-MG,Neo Química Arena ,SP,MG
33,2023-11-09,Flamengo,Palmeiras,Estádio Jornalista Mário Filho,RJ,SP
33,2023-11-22,Cruzeiro,Vasco da Gama,Estádio Governador Magalhães Pinto,MG,RJ
33,2023-11-08,Internacional,Fluminense,Estádio Beira-Rio,RS,RJ
33,2023-11-09,Goiás,Santos,Estádio Serra Dourada,GO,SP
33,2023-11-09,São Paulo,RB Bragantino,Estádio Urbano Caldeira,SP,
33,2023-11-10,EC Bahia,Cuiabá-MT,Arena Fonte Nova,BA,
33,2023-11-10,Botafogo,Grêmio,Estádio São Januário,RJ,RS
34,2023-11-11,Flamengo,Fluminense,Estádio Jornalista Mário Filho,RJ,RJ
34,2023-11-12,Atlético-MG,Goiás,Arena MRV,MG,GO
